ParaID LowerBound UpperBound ParaName 

*177: 2 2.8 Cmax(4,4,1) -> Cmax(Ta,Ta,Nb)
*178: 0.1 0.99 Cmin(4,4,2) -> Cmin(Ta,Ta,Mo)
*179: 2 2.8 Cmax(4,4,2) -> Cmax(Ta,Ta,Mo)
*180: 0.1 0.99 Cmin(4,4,3) -> Cmin(Ta,Ta,W)
*181: 2 2.8 Cmax(4,4,3) -> Cmax(Ta,Ta,W)
*182: 0.1 0.99 Cmin(4,4,5) -> Cmin(Ta,Ta,V)
*183: 2 2.8 Cmax(4,4,5) -> Cmax(Ta,Ta,V)
*184: 1 1 rho0(4) -> rho0(Ta)
*185: 0.1 0.99 Cmin(5,5,1) -> Cmin(V,V,Nb)
*186: 2 2.8 Cmax(5,5,1) -> Cmax(V,V,Nb)
*187: 0.1 0.99 Cmin(5,5,2) -> Cmin(V,V,Mo)
*188: 2 2.8 Cmax(5,5,2) -> Cmax(V,V,Mo)
*189: 0.1 0.99 Cmin(5,5,3) -> Cmin(V,V,W)
*190: 2 2.8 Cmax(5,5,3) -> Cmax(V,V,W)
*191: 0.1 0.99 Cmin(5,5,4) -> Cmin(V,V,Ta)
*192: 2 2.8 Cmax(5,5,4) -> Cmax(V,V,Ta)
*193: 1 1 rho0(5) -> rho0(V)
